Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,is_coastal_district,Season,Fatality_Rate
2674,6th week,Assam,Cachar,Cholera,3,0,9,2,2016,24.75863995,92.88166476,0.02283123923,,298.1033334,0,Winter,0.0
2675,6th week,Assam,Cachar,Cholera,174,2,26,1,2016,24.75863995,92.88166476,0.06446665332,22.0,295.5,0,Winter,1.1494252873563218
2708,10th week,Karnataka,Mysuru,Cholera,40,0,4,3,2016,12.3051828,76.6553609,8.34e-05,,312.47,0,Summer,0.0
2724,12th week,Gujarat,Kheda,Cholera,82,0,23,3,2016,22.75,72.833333,8.13e-05,6.0,312.1733334,0,Summer,0.0
2732,12th week,Karnataka,Mysuru,Cholera,40,0,4,3,2016,12.3051828,76.6553609,8.34e-05,,312.47,0,Summer,0.0
2743,13th week,West Bengal,North 24 Parganas,Cholera,509,0,26,3,2016,22.642931,88.8930579,0.03973893759,16.0,303.8533334,1,Summer,0.0
2748,14th week,Gujarat,Banaskantha,Cholera,45,1,7,4,2016,24.172056,72.431134,0.000208044708,5.0,310.2166666,0,Summer,2.2222222222222223
2753,14th week,Maharashtra,Washim,Cholera,31,0,5,4,2016,20.28741775,77.2369655,0.007656557727,,323.11,0,Summer,0.0
2758,14th week,Rajasthan,Jaipur,Cholera,59,2,4,4,2016,26.9154576,75.8189817,5.66e-05,3.0,313.31333340000003,0,Summer,3.389830508474576
2760,14th week,Assam,Hailakandi,Cholera,23,0,24,3,2016,24.68845365,92.57381528,0.5682023857,19.0,300.3233334,0,Summer,0.0
2768,14th week,West Bengal,South 24 Parganas,Cholera,776,0,26,3,2016,22.5760669,88.42006758,0.03823733197,13.0,303.9766666,1,Summer,0.0
2772,16th week,Karnataka,Mysuru,Cholera,30,0,17,4,2016,12.3051828,76.6553609,0.008269637815,7.0,315.748,0,Summer,0.0
2773,16th week,Karnataka,Mysuru,Cholera,22,0,19,4,2016,12.3051828,76.6553609,0.005603849499,7.0,315.1633334,0,Summer,0.0
2782,16th week,West Bengal,Uttar Dinajpur,Cholera,870,0,26,3,2016,25.8707958,87.96259728,0.01384412423,8.0,304.48,0,Summer,0.0
2783,17th week,Gujarat,Gandhi Nagar,Cholera,21,0,25,4,2016,23.06016515,72.58063822,3.25e-05,5.0,315.6066666,0,Summer,0.0
2787,17th week,Karnataka,Hassan,Cholera,40,0,29,4,2016,13.0070817,76.0992703,0.00236661977,,315.884,0,Summer,0.0
2802,18th week,Karnataka,Belagavi,Cholera,5,0,4,5,2016,15.8572666,74.5069343,0.1117671629,8.0,317.61333340000004,0,Summer,0.0
2803,18th week,Karnataka,Belagavi,Cholera,3,0,4,5,2016,15.8572666,74.5069343,0.1117671629,8.0,317.61333340000004,0,Summer,0.0
2807,18th week,Maharashtra,Wardha,Cholera,24,0,2,5,2016,20.82562315,78.6131455,0.03192275383,4.0,323.37,0,Summer,0.0
2815,18th week,Uttar Pradesh,Mathura,Cholera,173,3,5,5,2016,27.633333,77.583333,0.04562310327,3.0,321.7366666,0,Summer,1.7341040462427744
2824,18th week,Gujarat,Gandhi Nagar,Cholera,34,0,25,4,2016,23.06016515,72.58063822,3.25e-05,5.0,315.6066666,0,Summer,0.0
2828,19th week,Gujarat,Gandhi Nagar,Cholera,97,0,6,5,2016,23.06016515,72.58063822,0.01565446637,5.0,317.2466666,0,Summer,0.0
2849,19th week,West Bengal,Bankura,Cholera,122,0,2,5,2016,23.13195425,87.2073972,0.08036036783,6.0,315.344,0,Summer,0.0
2855,20th week,Madhya Pradesh,Dhar,Cholera,33,0,13,5,2016,22.5,75.25,0.07683057682,3.0,315.712,0,Summer,0.0
2856,20th week,Maharashtra,Akola,Cholera,21,1,21,5,2016,20.76181225,77.19211567,0.002499170694,2.0,325.4233334,0,Summer,4.761904761904762
2863,20th week,West Bengal,Malda,Cholera,101,0,14,5,2016,25.0057449,88.1398483,0.3848566304,8.0,307.488,0,Summer,0.0
2872,20th week,West Bengal,Bankura,Cholera,122,0,2,5,2016,23.13195425,87.2073972,0.08036036783,6.0,315.344,0,Summer,0.0
2879,21st week,Gujarat,Jamnagar,Cholera,47,0,22,5,2016,22.4732415,70.0552102,0.0003191528184,2.0,321.492,1,Summer,0.0
2880,21st week,Madhya Pradesh,Indore,Cholera,3,0,20,5,2016,22.7665444,75.9006944,4.37e-05,2.0,322.2133334,0,Summer,0.0
2882,21st week,Maharashtra,Akola,Cholera,21,1,23,5,2016,20.76181225,77.19211567,0.002685900832,,325.244,0,Summer,4.761904761904762
2883,21st week,Maharashtra,Amravati,Cholera,62,0,21,5,2016,20.9521098,77.7333168,0.01309271865,2.0,324.8766666,0,Summer,0.0
2895,21st week,West Bengal,Purulia,Cholera,53,0,30,5,2016,23.3291882,86.3672378,0.196499884,7.0,307.6733334,0,Summer,0.0
2898,21st week,West Bengal,Purulia,Cholera,117,2,29,5,2016,23.3291882,86.3672378,0.2843318082,7.0,307.295,0,Summer,1.7094017094017095
2921,22nd week,Punjab,Patiala,Cholera,480,2,6,6,2016,30.2090874,76.33987209,0.02500362103,3.0,314.3266666,0,Monsoon,0.4166666666666667
2929,22nd week,West Bengal,Bankura,Cholera,49,0,31,5,2016,23.13195425,87.2073972,0.3320668232,,307.27500000000003,0,Summer,0.0
2930,22nd week,West Bengal,Purulia,Cholera,30,0,5,6,2016,23.3291882,86.3672378,0.4598052919,7.0,308.668,0,Monsoon,0.0
2931,22nd week,West Bengal,Purulia,Cholera,96,0,1,6,2016,23.3291882,86.3672378,0.3100517083,,309.67,0,Monsoon,0.0
2932,22nd week,West Bengal,South 24 Parganas,Cholera,26,0,1,6,2016,22.5760669,88.42006758,0.1586993147,,304.075,1,Monsoon,0.0
2933,22nd week,Assam,Sivasagar,Cholera,235,1,22,5,2016,26.9834936,94.6394226,1.842831286,16.0,299.18,0,Summer,0.425531914893617
2935,22nd week,Karnataka,Bijapur,Cholera,86,0,6,3,2016,16.8269911,75.7175387,0.0849281048,4.0,311.212,0,Summer,0.0
2949,23rd week,Chandigarh,Chandigarh,Cholera,31,0,9,6,2016,30.72984395,76.78414567,0.08376674357,,309.1366666,0,Monsoon,0.0
2958,23rd week,Maharashtra,Jalgaon,Cholera,53,1,6,6,2016,20.84288265,75.52612464,0.002886902682,2.0,316.0933334,0,Monsoon,1.8867924528301887
2965,23rd week,Rajasthan,Udaipur,Cholera,77,0,8,6,2016,24.578721,73.6862571,0.0004823618879,,323.464,0,Monsoon,0.0
2972,23rd week,West Bengal,Purulia,Cholera,30,0,6,6,2016,23.3291882,86.3672378,0.4138951428,7.0,308.165,0,Monsoon,0.0
2988,24th week,Gujarat,Narmada,Cholera,41,1,13,6,2016,21.8678464,73.5025585,0.004507394,5.0,313.30400000000003,0,Monsoon,2.4390243902439024
3018,24th week,Chandigarh,Chandigarh,Cholera,40,0,9,6,2016,30.72984395,76.78414567,0.08376674357,,309.1366666,0,Monsoon,0.0
3023,25th week,Assam,Jorhat,Cholera,11,0,19,6,2016,26.7577925,94.2079645,1.202283481,2.0,296.68,0,Monsoon,0.0
